id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
T0000001,K00036,2026-01-24 14:35:45,29.13,5411,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000002,K00036,2026-01-18 01:53:23,374.49,5812,Mercado Central,APP,AR,ARS
T0000003,K00016,2026-01-12 01:57:22,1669.00,5999,ATM Banco,ATM,BR,BRL
T0000004,K00011,2026-01-20 23:09:59,2440.63,6011,Restaurante Avenida,ATM,BR,BRL
T0000005,K00027,2026-01-01 05:47:59,2006.58,6011,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000006,K00025,2026-01-09 05:50:44,2181.06,6011,Posto Sul,ECOMMERCE,BR,BRL
T0000007,K00015,2026-01-07 14:22:19,64.04,5812,Posto Sul,APP,BR,BRL
T0000008,K00033,2026-01-09 02:49:17,1002.20,6011,Tech Store,APP,BR,BRL
T0000009,K00012,2026-01-31 00:07:56,1453.57,5999,Mercado Central,POS,BR,BRL
T0000010,K00028,2026-01-20 13:22:46,1517.49,5732,Mercado Central,ATM,BR,BRL
T0000011,K00028,2026-01-29 18:12:16,9.22,6011,Tech Store,ECOMMERCE,BR,BRL
T0000012,K00040,2026-01-12 13:04:42,788.22,6011,Mercado Central,APP,BR,BRL
T0000013,K00026,2026-01-17 09:42:26,1744.53,5732,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000014,K00012,2026-01-14 21:24:43,1540.71,5999,Posto Sul,POS,US,USD
T0000015,K00039,2026-01-10 09:13:27,1638.49,5541,Posto Sul,ATM,AR,ARS
T0000016,K00011,2026-01-22 06:32:30,1648.83,5999,Tech Store,APP,US,USD
T0000017,K00013,2026-01-03 07:43:19,372.65,5411,Restaurante Avenida,ATM,BR,BRL
T0000018,K00037,2026-01-20 02:29:26,490.12,4111,Posto Sul,ATM,US,USD
T0000019,K00001,2026-01-13 07:09:41,2232.19,6011,ATM Banco,POS,US,USD
T0000020,K00034,2026-01-25 13:14:11,1164.05,5732,Restaurante Avenida,POS,US,USD
T0000021,K00034,2026-01-15 04:51:29,2469.79,5732,Loja Online X,ATM,US,USD
T0000022,K00036,2026-01-20 23:57:32,1117.55,5812,Mobilidade Urbana,ATM,BR,BRL
T0000023,K00018,2026-01-15 08:48:15,1915.71,5732,Posto Sul,ECOMMERCE,US,USD
T0000024,K00016,2026-01-09 14:04:45,682.93,5999,Tech Store,POS,BR,BRL
T0000025,K00010,2026-01-05 04:14:24,1767.52,5411,Posto Sul,ATM,US,USD
T0000026,K00014,2026-01-11 17:29:26,2083.06,5541,ATM Banco,POS,BR,BRL
T0000027,K00023,2026-01-28 18:24:30,750.04,5541,ATM Banco,ATM,BR,BRL
T0000028,K00015,2026-01-18 23:47:34,1223.13,5999,Posto Sul,ATM,AR,ARS
T0000029,K00026,2026-01-01 12:21:42,1811.83,6011,Posto Sul,ECOMMERCE,US,USD
T0000030,K00038,2026-01-20 17:01:58,1413.16,5411,Mercado Central,ATM,BR,BRL
T0000031,K00025,2026-01-05 14:11:03,821.74,5541,Loja Online X,APP,BR,BRL
T0000032,K00017,2026-01-25 12:17:48,2088.10,5541,Mercado Central,POS,BR,BRL
T0000033,K00003,2026-01-31 11:14:41,1886.81,5812,Restaurante Avenida,POS,BR,BRL
T0000034,K00008,2026-01-20 04:15:08,1412.10,5812,Posto Sul,APP,BR,BRL
T0000035,K00008,2026-01-25 11:10:38,1945.59,5812,Loja Online X,POS,AR,ARS
T0000036,K00025,2026-01-19 00:59:19,994.65,4111,Restaurante Avenida,POS,AR,ARS
T0000037,K00007,2026-01-19 22:53:40,1744.50,5999,ATM Banco,POS,BR,BRL
T0000038,K00035,2026-01-26 18:50:02,1073.80,5999,Mercado Central,APP,BR,BRL
T0000039,K00028,2026-01-01 13:52:31,2402.16,4111,ATM Banco,ATM,BR,BRL
T0000040,K00034,2026-01-23 04:27:11,2413.86,5999,Tech Store,ATM,US,USD
T0000041,K00018,2026-01-15 13:52:46,809.15,5812,ATM Banco,POS,AR,ARS
T0000042,K00037,2026-01-09 14:15:48,1527.78,5541,Loja Online X,POS,BR,BRL
T0000043,K00023,2026-01-16 10:11:31,1995.59,5999,Loja Online X,APP,BR,BRL
T0000044,K00016,2026-01-18 00:33:12,1801.59,5541,Tech Store,ECOMMERCE,BR,BRL
T0000045,K00029,2026-01-23 15:41:45,1983.37,5411,Loja Online X,ECOMMERCE,BR,BRL
T0000046,K00038,2026-01-13 22:15:19,925.71,5732,Tech Store,APP,US,USD
T0000047,K00030,2026-01-14 23:35:21,680.94,5999,Restaurante Avenida,POS,BR,BRL
T0000048,K00035,2026-01-24 06:20:07,2377.44,4111,Restaurante Avenida,ECOMMERCE,US,USD
T0000049,K00038,2026-01-07 23:30:17,2441.63,5732,Tech Store,APP,US,USD
T0000050,K00012,2026-01-04 06:18:14,759.16,4111,Tech Store,ECOMMERCE,BR,BRL
T0000051,K00009,2026-01-09 01:03:35,1596.48,6011,Posto Sul,POS,BR,BRL
T0000052,K00031,2026-01-28 00:36:18,1103.97,5812,Mercado Central,APP,BR,BRL
T0000053,K00026,2026-01-31 15:07:52,1231.91,5732,Mobilidade Urbana,POS,BR,BRL
T0000054,K00006,2026-01-05 04:51:36,2484.83,5411,Tech Store,ATM,BR,BRL
T0000055,K00034,2026-01-20 19:50:39,954.04,5541,Loja Online X,ATM,BR,BRL
