id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
T0000181,K00029,2026-02-18 03:16:49,540.35,5732,Loja Online X,ATM,BR,BRL
T0000182,K00029,2026-02-07 03:08:54,435.78,4111,Posto Sul,POS,BR,BRL
T0000183,K00023,2026-02-26 21:54:20,1775.30,5732,Tech Store,APP,US,USD
T0000184,K00041,2026-02-10 05:45:45,439.36,5999,Tech Store,ECOMMERCE,US,USD
T0000185,K00032,2026-02-04 06:50:08,70.58,5732,Tech Store,APP,BR,BRL
T0000186,K00005,2026-02-15 17:08:39,776.68,4111,Mobilidade Urbana,ATM,BR,BRL
T0000187,K00005,2026-02-17 13:49:26,317.69,5999,Mobilidade Urbana,POS,AR,ARS
T0000188,K00009,2026-02-15 14:43:33,2195.51,6011,Tech Store,ECOMMERCE,BR,BRL
T0000189,K00008,2026-02-25 04:27:32,1297.66,5999,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000190,K00019,2026-02-11 22:14:22,2115.60,5999,Restaurante Avenida,APP,AR,ARS
T0000191,K00006,2026-02-05 20:19:39,1258.92,5812,Tech Store,ECOMMERCE,AR,ARS
T0000192,K00022,2026-02-06 21:39:46,2107.11,5732,Mercado Central,POS,AR,ARS
T0000193,K00017,2026-02-03 01:41:49,1629.57,6011,Tech Store,ATM,AR,ARS
T0000194,K00035,2026-02-20 20:01:31,727.73,5999,Posto Sul,ECOMMERCE,US,USD
T0000195,K00005,2026-02-26 21:25:19,1723.09,5812,Posto Sul,ATM,BR,BRL
T0000196,K00010,2026-02-16 14:13:21,784.89,4111,Loja Online X,APP,AR,ARS
T0000197,K00036,2026-02-13 04:48:23,269.93,5812,Posto Sul,POS,AR,ARS
T0000198,K00004,2026-02-09 14:15:09,729.08,5541,ATM Banco,ATM,BR,BRL
T0000199,K00021,2026-02-08 05:52:20,478.64,5812,Posto Sul,ATM,AR,ARS
T0000200,K00026,2026-02-16 09:31:01,1266.08,5812,Restaurante Avenida,APP,BR,BRL
T0000201,K00031,2026-02-02 01:18:31,717.94,5411,ATM Banco,POS,AR,ARS
T0000202,K00024,2026-02-14 04:56:16,1910.82,5999,Mercado Central,ATM,US,USD
T0000203,K00036,2026-02-02 18:35:12,725.06,5541,Tech Store,ATM,BR,BRL
T0000204,K00040,2026-02-25 17:17:52,301.43,5411,Posto Sul,APP,AR,ARS
T0000205,K00013,2026-02-26 10:35:23,1508.15,5541,Tech Store,POS,BR,BRL
T0000206,K00031,2026-02-02 01:08:45,1300.74,5812,Tech Store,ECOMMERCE,BR,BRL
T0000207,K00040,2026-02-11 19:20:10,1849.60,5999,Tech Store,APP,BR,BRL
T0000208,K00037,2026-02-17 16:34:31,752.98,6011,Mercado Central,APP,US,USD
T0000209,K00020,2026-02-11 21:07:26,1992.90,4111,ATM Banco,POS,AR,ARS
T0000210,K00037,2026-02-20 15:16:41,572.72,5411,Tech Store,ATM,AR,ARS
T0000211,K00025,2026-02-06 16:40:46,373.70,4111,Restaurante Avenida,POS,AR,ARS
T0000212,K00029,2026-02-19 22:07:12,787.66,5812,Posto Sul,ECOMMERCE,BR,BRL
T0000213,K00004,2026-02-14 16:49:39,1765.91,5732,Restaurante Avenida,APP,BR,BRL
T0000214,K00012,2026-02-22 15:33:24,1151.86,5732,Loja Online X,APP,BR,BRL
T0000215,K00017,2026-02-22 23:43:41,1527.14,5812,Restaurante Avenida,APP,US,USD
T0000216,K00014,2026-02-18 09:14:19,1727.15,5541,Loja Online X,ATM,BR,BRL
T0000217,K00018,2026-02-12 17:59:59,723.03,5732,Mobilidade Urbana,ATM,US,USD
T0000218,K00019,2026-02-13 11:49:51,109.96,4111,Mercado Central,APP,BR,BRL
T0000219,K00014,2026-02-15 20:16:47,509.16,5732,Loja Online X,APP,BR,BRL
T0000220,K00016,2026-02-05 03:39:47,609.93,4111,Tech Store,ECOMMERCE,AR,ARS
T0000221,K00022,2026-02-21 07:03:06,1794.81,5411,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000222,K00031,2026-02-01 17:59:10,1196.23,5812,ATM Banco,APP,BR,BRL
T0000223,K00037,2026-02-11 09:41:03,584.39,4111,Mobilidade Urbana,POS,BR,BRL
T0000224,K00003,2026-02-06 13:56:53,2492.94,5541,ATM Banco,ATM,BR,BRL
T0000225,K00003,2026-02-06 23:55:59,28.12,5732,Tech Store,POS,BR,BRL
T0000226,K00034,2026-02-11 09:29:41,1237.31,5812,ATM Banco,ATM,AR,ARS
T0000227,K00011,2026-02-09 06:51:07,1829.14,4111,Loja Online X,ECOMMERCE,BR,BRL
T0000228,K00037,2026-02-01 23:21:50,1687.63,5812,Restaurante Avenida,ATM,BR,BRL
T0000229,K00026,2026-02-27 13:32:20,1674.79,5812,Restaurante Avenida,ATM,BR,BRL
T0000230,K00016,2026-02-11 07:00:16,1119.61,5999,Loja Online X,APP,BR,BRL
T0000231,K00024,2026-02-19 23:36:00,1733.46,5411,Mobilidade Urbana,POS,BR,BRL
T0000232,K00033,2026-02-15 09:10:25,2308.15,4111,ATM Banco,APP,US,USD
T0000233,K00024,2026-02-23 03:40:58,1538.49,5812,Restaurante Avenida,ATM,BR,BRL
T0000234,K00027,2026-02-05 14:47:38,1756.34,5541,ATM Banco,ECOMMERCE,BR,BRL
T0000235,K00006,2026-02-25 07:43:48,1316.14,5732,Mobilidade Urbana,APP,AR,ARS
T0000236,K00033,2026-02-03 18:07:03,509.38,5732,Restaurante Avenida,ECOMMERCE,AR,ARS
T0000237,K00014,2026-02-11 16:28:07,1793.71,5541,Mercado Central,ATM,US,USD
T0000238,K00027,2026-02-26 01:29:08,1144.71,5411,Tech Store,ATM,AR,ARS
T0000239,K00017,2026-02-22 09:46:01,2042.05,4111,Restaurante Avenida,POS,BR,BRL
T0000240,K00035,2026-02-02 13:22:44,2485.34,5411,Posto Sul,POS,BR,BRL
T0000241,K00027,2026-02-10 13:11:49,939.28,5541,Posto Sul,ATM,BR,BRL
T0000242,K00009,2026-02-13 02:43:42,1635.57,5999,Mercado Central,ECOMMERCE,AR,ARS
T0000243,K00015,2026-02-18 12:33:08,2087.88,6011,Mercado Central,APP,US,USD
T0000244,K00035,2026-02-15 21:46:34,951.29,5812,Restaurante Avenida,ATM,BR,BRL
T0000245,K00008,2026-02-12 04:17:12,85.38,4111,Posto Sul,POS,US,USD
T0000246,K00003,2026-02-08 06:04:06,1118.87,4111,Mobilidade Urbana,POS,AR,ARS
T0000247,K00015,2026-02-08 23:02:25,1351.70,6011,ATM Banco,POS,BR,BRL
T0000248,K00037,2026-02-05 16:18:14,800.66,5732,ATM Banco,APP,US,USD
T0000249,K00034,2026-02-08 09:56:09,556.50,5999,Loja Online X,POS,US,USD
T0000250,K00041,2026-02-18 18:56:47,1698.48,5732,Posto Sul,POS,BR,BRL
T0000251,K00021,2026-02-12 20:42:24,1742.29,5541,Restaurante Avenida,APP,AR,ARS
T0000252,K00016,2026-02-13 05:48:34,2124.11,5999,ATM Banco,ECOMMERCE,BR,BRL
T0000253,K00027,2026-02-26 14:58:03,2419.63,5732,Tech Store,ECOMMERCE,AR,ARS
T0000254,K00006,2026-02-13 07:16:13,2305.95,6011,Loja Online X,POS,BR,BRL
T0000255,K00018,2026-02-18 23:53:12,946.03,5732,Tech Store,POS,BR,BRL
T0000256,K00036,2026-02-28 02:12:51,546.46,5812,ATM Banco,APP,AR,ARS
T0000257,K00008,2026-02-10 00:13:59,1868.46,6011,Posto Sul,ECOMMERCE,BR,BRL
T0000258,K00016,2026-02-23 19:45:13,1382.44,6011,Loja Online X,ATM,BR,BRL
T0000259,K00017,2026-02-15 17:41:22,902.31,5541,Posto Sul,POS,BR,BRL
T0000260,K00014,2026-02-26 23:30:48,929.91,5541,Mercado Central,ECOMMERCE,BR,BRL
T0000261,K00038,2026-02-24 04:01:16,1449.96,5541,Loja Online X,ECOMMERCE,AR,ARS
T0000262,K00016,2026-02-07 10:14:24,1250.76,4111,Mobilidade Urbana,APP,AR,ARS
T0000263,K00032,2026-02-09 15:46:41,1154.77,4111,ATM Banco,APP,US,USD
T0000264,K00012,2026-02-06 04:46:34,2292.66,5732,Mobilidade Urbana,POS,BR,BRL
T0000265,K00004,2026-02-17 01:53:54,1912.03,5541,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000266,K00033,2026-02-03 22:09:00,1142.74,5411,Tech Store,ATM,BR,BRL
T0000267,K00036,2026-02-22 15:01:00,1031.29,5411,Tech Store,APP,AR,ARS
T0000268,K00028,2026-02-18 09:01:32,2016.39,5812,Mercado Central,POS,US,USD
T0000269,K00034,2026-02-17 04:15:12,634.78,5999,Loja Online X,ATM,AR,ARS
T0000270,K00016,2026-02-03 11:25:29,2475.63,5812,Loja Online X,POS,AR,ARS
T0000271,K00026,2026-02-21 20:48:02,951.26,5732,Posto Sul,POS,BR,BRL
T0000272,K00032,2026-02-21 00:44:10,2114.10,4111,ATM Banco,APP,BR,BRL
T0000273,K00015,2026-02-19 03:57:33,532.49,6011,Mobilidade Urbana,ATM,BR,BRL
T0000274,K00018,2026-02-09 01:59:04,2248.78,5732,Mobilidade Urbana,POS,US,USD
T0000275,K00010,2026-02-06 10:01:13,1881.87,4111,ATM Banco,ATM,AR,ARS
T0000276,K00037,2026-02-03 09:10:36,2087.45,5541,Mobilidade Urbana,APP,BR,BRL
T0000277,K00006,2026-02-13 23:08:50,1254.48,5999,Mercado Central,POS,US,USD
T0000278,K00039,2026-02-14 07:53:04,1923.67,5732,Posto Sul,APP,BR,BRL
T0000279,K00032,2026-02-01 20:17:50,574.21,5732,Posto Sul,ATM,BR,BRL
T0000280,K00006,2026-02-06 21:37:42,1931.56,5999,ATM Banco,ECOMMERCE,BR,BRL
T0000281,K00025,2026-02-23 02:05:17,1780.63,4111,Restaurante Avenida,ATM,BR,BRL
T0000282,K00020,2026-02-11 11:06:05,1114.62,6011,Loja Online X,POS,BR,BRL
T0000283,K00036,2026-02-05 02:11:27,1389.08,5541,Mercado Central,POS,BR,BRL
T0000284,K00039,2026-02-03 11:35:05,1962.17,6011,Posto Sul,POS,AR,ARS
T0000285,K00036,2026-02-10 13:24:49,2263.49,5812,Tech Store,ECOMMERCE,BR,BRL
T0000286,K00020,2026-02-22 12:10:08,674.67,5812,Mercado Central,ECOMMERCE,BR,BRL
T0000287,K00005,2026-02-14 08:26:19,906.01,5812,Mobilidade Urbana,ATM,BR,BRL
T0000288,K00009,2026-02-20 19:12:29,765.12,5541,Loja Online X,ATM,BR,BRL
T0000289,K00039,2026-02-26 10:28:21,344.63,5999,Tech Store,ECOMMERCE,BR,BRL
T0000290,K00019,2026-02-16 10:11:25,1838.51,4111,Posto Sul,ECOMMERCE,BR,BRL
T0000291,K00024,2026-02-11 12:17:52,289.15,5732,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000292,K00014,2026-02-22 17:01:46,1098.95,5999,ATM Banco,POS,BR,BRL
T0000293,K00041,2026-02-27 13:43:31,760.57,5999,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000294,K00029,2026-02-23 13:50:24,2476.80,5541,Tech Store,ATM,BR,BRL
T0000295,K00027,2026-02-18 16:59:58,1361.39,6011,Loja Online X,POS,US,USD
T0000296,K00011,2026-02-04 07:42:42,1619.26,5411,Tech Store,ATM,BR,BRL
T0000297,K00001,2026-02-25 10:50:27,251.02,5812,Tech Store,ECOMMERCE,BR,BRL
T0000298,K00038,2026-02-15 11:25:29,1727.64,5812,Loja Online X,POS,US,USD
T0000299,K00008,2026-02-16 03:18:26,2079.14,4111,Restaurante Avenida,APP,BR,BRL
T0000300,K00034,2026-02-10 10:29:50,1209.90,5541,Mercado Central,ATM,BR,BRL
T0000301,K00020,2026-02-24 22:28:20,116.48,4111,Mercado Central,POS,BR,BRL
T0000302,K00011,2026-02-28 10:41:06,2325.16,4111,Restaurante Avenida,ECOMMERCE,US,USD
T0000303,K00030,2026-02-18 05:21:35,583.48,5541,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000304,K00002,2026-02-06 20:42:27,1844.78,5812,Posto Sul,ATM,BR,BRL
T0000305,K00018,2026-02-13 00:45:13,1882.05,6011,ATM Banco,POS,BR,BRL
T0000306,K00012,2026-02-19 03:51:55,917.65,5812,Posto Sul,POS,AR,ARS
T0000307,K00041,2026-02-09 21:55:31,786.94,5541,Tech Store,ATM,AR,ARS
T0000308,K00040,2026-02-19 03:22:22,435.46,4111,Mobilidade Urbana,APP,BR,BRL
T0000309,K00021,2026-02-20 18:05:43,299.06,5999,Mercado Central,ECOMMERCE,BR,BRL
T0000310,K00027,2026-02-12 22:09:32,1493.08,5732,Posto Sul,ATM,BR,BRL
T0000311,K00012,2026-02-06 15:40:34,1389.51,5541,Loja Online X,ECOMMERCE,US,USD
T0000312,K00004,2026-02-06 10:53:28,2164.48,5411,Posto Sul,ECOMMERCE,AR,ARS
T0000313,K00032,2026-02-07 12:35:32,1025.79,5541,Posto Sul,ATM,US,USD
T0000314,K00015,2026-02-16 05:05:36,733.76,5999,Restaurante Avenida,APP,BR,BRL
T0000315,K00036,2026-02-06 14:36:47,1279.46,5732,Mercado Central,APP,BR,BRL
T0000316,K00003,2026-02-25 17:52:23,1901.21,5541,Tech Store,ECOMMERCE,AR,ARS
T0000317,K00016,2026-02-14 03:47:53,747.78,5411,Posto Sul,APP,US,USD
T0000318,K00016,2026-02-12 02:28:55,528.65,4111,Tech Store,APP,BR,BRL
T0000319,K00011,2026-02-28 22:39:40,1542.30,6011,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000320,K00018,2026-02-26 01:36:22,1494.16,5812,Loja Online X,APP,AR,ARS
T0000321,K00007,2026-02-10 18:17:54,343.29,6011,ATM Banco,ATM,AR,ARS
T0000322,K00009,2026-02-02 08:55:41,627.94,4111,Loja Online X,ECOMMERCE,BR,BRL
T0000323,K00037,2026-02-25 21:25:31,1582.84,4111,Posto Sul,ATM,BR,BRL
T0000324,K00026,2026-02-15 02:40:50,1291.46,5999,Mobilidade Urbana,APP,BR,BRL
T0000325,K00006,2026-02-15 15:20:37,1828.68,5541,Mobilidade Urbana,APP,BR,BRL
T0000326,K00014,2026-02-28 02:50:34,2420.48,6011,Restaurante Avenida,ATM,BR,BRL
T0000327,K00036,2026-02-09 10:53:18,1446.94,5732,ATM Banco,ATM,BR,BRL
T0000328,K00003,2026-02-26 10:57:43,253.44,6011,ATM Banco,ATM,BR,BRL
T0000329,K00029,2026-02-01 03:59:54,1144.01,5541,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000330,K00006,2026-02-21 09:10:55,1638.20,5999,Mercado Central,APP,BR,BRL
T0000331,K00041,2026-02-22 20:10:03,767.25,4111,ATM Banco,ECOMMERCE,BR,BRL
T0000332,K00001,2026-02-14 20:05:45,537.49,5411,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000333,K00022,2026-02-17 21:28:00,2043.69,6011,Posto Sul,ECOMMERCE,BR,BRL
T0000334,K00007,2026-02-16 02:14:24,262.49,5999,Loja Online X,ECOMMERCE,BR,BRL
T0000335,K00005,2026-02-13 04:41:43,1328.62,5411,Tech Store,ECOMMERCE,BR,BRL
T0000336,K00010,2026-02-15 11:46:13,2300.14,5732,Mobilidade Urbana,ATM,US,USD
T0000337,K00009,2026-02-28 06:05:57,1882.35,5732,Mobilidade Urbana,ATM,BR,BRL
T0000338,K00016,2026-02-12 13:20:50,696.03,5411,Restaurante Avenida,APP,BR,BRL
